INPUT, IN_REAR_JOG_E_STOP				,		 1107
INPUT, IN_SPARE_1108					,			 1108
INPUT, IN_SPARE_1109					,			 1109
INPUT, IN_SPARE_1110					,			 1110
INPUT, IN_REAR_JOG_DETECT				,		 1111
									
INPUT, IN_FRONT_DOOR1					, 1112
INPUT, IN_FRONT_DOOR2					, 1113
INPUT, IN_FRONT_DOOR3					, 1114
INPUT, IN_FRONT_DOOR4					, 1115									
INPUT, IN_FRONT_DOOR5					, 1116
INPUT, IN_FRONT_DOOR6					, 1117
INPUT, IN_SPARE_1118 					, 1118
INPUT, IN_FRONT_DOOR_LOCK				,	 1119

INPUT, IN_REAR_DOOR1					,	 1120
INPUT, IN_REAR_DOOR2					,	 1121
INPUT, IN_REAR_DOOR3					,	 1122
INPUT, IN_REAR_DOOR4					,	 1123
INPUT, IN_REAR_DOOR5					,	 1124
INPUT, IN_REAR_DOOR6					,	 1125
INPUT, IN_SPARE_1126					,	 1126
INPUT, IN_REAR_DOOR_LOCK				,	 1127

									
INPUT, IN_INTERFACE_00					,		 1128
INPUT, IN_INTERFACE_01					,		 1129
INPUT, IN_INTERFACE_02					,		 1130
INPUT, IN_INTERFACE_03					,		 1131
INPUT, IN_INTERFACE_04					,		 1132
INPUT, IN_INTERFACE_05					,		 1133
INPUT, IN_INTERFACE_06					,		 1134
INPUT, IN_INTERFACE_07					,		 1135
					
					,
INPUT, IN_INTERFACE_08					,		 1136
INPUT, IN_INTERFACE_09					,		 1137
INPUT, IN_INTERFACE_10					,		 1138
INPUT, IN_INTERFACE_11					,		 1139
INPUT, IN_INTERFACE_12					,		 1140
INPUT, IN_INTERFACE_13					,		 1141
INPUT, IN_INTERFACE_14					,		 1142
INPUT, IN_INTERFACE_15					,		 1143
									
INPUT, IN_TABMOUNTER1_THERMOSTAT_01 		,		 1144
INPUT, IN_TABMOUNTER1_THERMOSTAT_02 		,		 1145
INPUT, IN_TABMOUNTER1_THERMOSTAT_03 		,		 1146
INPUT, IN_TABMOUNTER1_THERMOSTAT_04 		,		 1147
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_01 	,	 1148
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_02 	,	 1149
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_03 	,	 1150
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_04 	,	 1151
	
INPUT, IN_TABMOUNTER1_PRESS1_1ST_UP			,	 1152
INPUT, IN_TABMOUNTER1_PRESS2_1ST_UP			,	 1153
INPUT, IN_TABMOUNTER1_PRESS3_1ST_UP			,	 1154
INPUT, IN_TABMOUNTER1_PRESS4_1ST_UP			,	 1155
INPUT, IN_TABMOUNTER1_PRESS1_1ST_DOWN		,	 1156
INPUT, IN_TABMOUNTER1_PRESS2_1ST_DOWN		,	 1157
INPUT, IN_TABMOUNTER1_PRESS3_1ST_DOWN		,	 1158
INPUT, IN_TABMOUNTER1_PRESS4_1ST_DOWN		,	 1159
									
INPUT, IN_TABMOUNTER1_THERMOSTAT_05 		,			 1160
INPUT, IN_TABMOUNTER1_THERMOSTAT_06 		,			 1161
INPUT, IN_TABMOUNTER1_THERMOSTAT_07 		,			 1162
INPUT, IN_TABMOUNTER1_THERMOSTAT_08 		,			 1163
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_05 	,		 1164
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_06 	,		 1165
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_07 	,		 1166
INPUT, IN_TABMOUNTER1_HEATER_WIRE_CUT_08 	,		 1167
	
INPUT, IN_TABMOUNTER1_PRESS5_1ST_UP			,		 1168
INPUT, IN_TABMOUNTER1_PRESS6_1ST_UP			,		 1169
